pmcid,pmid,title,author_count,first_author,publication_date,journal,doi,abstract,keywords,section_count,total_words,nasa_related,mentions_iss,mentions_microgravity
PMC6597714,31249331,Effect of Leptin Deficiency on the Skeletal Response to Hindlimb Unloading in Adult Male Mice,5,Jessica A Keune,2019 Jun 27,Scientific Reports,10.1038/s41598-019-45587-0,"Based on body weight, morbidly obese leptin-deficient ob/ob mice have less bone than expected, suggesting that leptin plays a role in the skeletal response to weight bearing. To evaluate this possibility, we compared the skeletal response of wild type (WT) and ob/ob mice to hindlimb unloading (HU). Mice were individually housed at 32 °C (thermoneutral) from 4 weeks of age (rapidly growing) to 16 weeks of age (approaching skeletal maturity). Mice were then randomized into one of 4 groups (n = 10/group): (1) WT control, (2) WT HU, (3) ob/ob control, and (4) ob/ob HU and the results analyzed by 2-way ANOVA. ob/ob mice pair-fed to WT mice had normal cancellous bone volume fraction (BV/TV) in distal femur, lower femur length and total bone area, mineral content (BMC) and density (BMD), and higher cancellous bone volume fraction in lumbar vertebra (LV). HU resulted in lower BMC and BMD in total femur, and lower BV/TV in distal femur and LV in both genotypes. Cancellous bone loss in femur in both genotypes was associated with increases in osteoclast-lined bone perimeter. In summary, leptin deficiency did not attenuate HU-induced osteopenia in male mice, suggesting that leptin is not required for bone loss induced by unweighting.",,25,5350,True,True,True
PMC10764921,38172193,Effects of altered gravity on growth and morphology in Wolffia globosa implications for bioregenerative life support systems and space-based agriculture,5,Leone Ermes Romano,2024 Jan 3,Scientific Reports,10.1038/s41598-023-49680-3,"Understanding the response of plants to varied gravitational conditions is vital for developing effective food production in space bioregenerative life support systems. This study examines the impact of altered gravity conditions on the growth and morphological responses of Wolffia globosa (commonly known as “ water lentils ” or “ duckweed ”), assessing its potential as a space crop. Although an experiment testing the effect of simulated microgravity on Wolffia globosa has been previously conducted, for the first time, we investigated the effect of multiple gravity levels on the growth and morphological traits of Wolffia globosa plants. The plant responses to simulated microgravity, simulated partial gravity (Moon), and hypergravity environments were evaluated using random positioning machines and the large-diameter centrifuge. As hypothesized, we observed a slight reaction to different gravitational levels in the growth and morphological traits of Wolffia globosa. The relative growth rates (RGR) of plants subjected to simulated microgravity and partial gravity were reduced when compared to those in other gravity levels. The morphological analysis revealed differences in plant dimensions and frond length-to-width ratios under diverse gravity conditions. Our findings showed that Wolffia globosa is responsive to gravitational changes, with its growth and morphological adaptations being slightly influenced by varying gravitational environments. As for other crop species, growth was reduced by the microgravity conditions; however, RGR remained substantial at 0.33 a day. In conclusion, this study underscores the potential of Wolffia globosa as a space crop and its adaptability to diverse gravitational conditions, contributing to the development of sustainable food production and bioregenerative life support systems for future space exploration missions.",,29,4472,False,True,True
PMC7937622,33692763,MARSBOx: Fungal and Bacterial Endurance From a Balloon-Flown Analog Mission in the Stratosphere,13,Marta Cortesão,2021 Feb 22,Frontiers in Microbiology,10.3389/fmicb.2021.601713,"Whether terrestrial life can withstand the martian environment is of paramount interest for planetary protection measures and space exploration. To understand microbial survival potential in Mars-like conditions, several fungal and bacterial samples were launched in September 2019 on a large NASA scientific balloon flight to the middle stratosphere (∼38 km altitude) where radiation levels resembled values at the equatorial Mars surface. Fungal spores of Aspergillus niger and bacterial cells of Salinisphaera shabanensis , Staphylococcus capitis subsp. capitis , and Buttiauxella sp. MASE-IM-9 were launched inside the MARSBOx (Microbes in Atmosphere for Radiation, Survival, and Biological Outcomes Experiment) payload filled with an artificial martian atmosphere and pressure throughout the mission profile. The dried microorganisms were either exposed to full UV-VIS radiation (UV dose = 1148 kJ m −2 ) or were shielded from radiation. After the 5-h stratospheric exposure, samples were assayed for survival and metabolic changes. Spores from the fungus A. niger and cells from the Gram-(–) bacterium S. shabanensis were the most resistant with a 2- and 4-log reduction, respectively. Exposed Buttiauxella sp. MASE-IM-9 was completely inactivated (both with and without UV exposure) and S. capitis subsp. capitis only survived the UV shielded experimental condition (3-log reduction). Our results underscore a wide variation in survival phenotypes of spacecraft associated microorganisms and support the hypothesis that pigmented fungi may be resistant to the martian surface if inadvertently delivered by spacecraft missions.",,46,7984,True,True,False
PMC3748764,23805000,Multiparameter Behavioral Analyses Provide Insights to Mechanisms of Cyanide Resistance in Caenorhabditis elegans,4,Jenifer N Saldanha,2013 Jun 26,Toxicological Sciences,10.1093/toxsci/kft138,"Environmental toxicants influence development, behavior, and ultimately survival. The nematode Caenorhabditis elegans has proven to be an exceptionally powerful model for toxicological studies. Here, we develop novel technologies to describe the effects of cyanide toxicity with high spatiotemporal resolution. Importantly, we use these methods to examine the genetic underpinnings of cyanide resistance. Caenorhabditis elegans that lack the EGL-9 oxygen sensing enzyme have been shown to be resistant to hydrogen cyanide (HCN) gas produced by the pathogen Pseudomonas aeruginosa PAO1. We demonstrate that the cyanide resistance exhibited by egl-9 mutants is completely dependent on the HIF-1 hypoxia-inducible factor and is mediated by the cysl-2 cysteine synthase, which likely functions in metabolic pathways that inactivate cyanide. Further, the expression of cysl-2 correlates with the degree of cyanide resistance exhibited in each genetic background. We find that each mutant exhibits similar relative resistance to HCN gas on plates or to aqueous potassium cyanide in microfluidic chambers. The design of the microfluidic devices, in combination with real-time imaging, addresses a series of challenges presented by mutant phenotypes and by the chemical nature of the toxicant. The microfluidic assay produces a set of behavioral parameters with increased resolution that describe cyanide toxicity and resistance in C. elegans , and this is particularly useful in analyzing subtle phenotypes. These multiparameter analyses of C. elegans behavior hold great potential as a means to monitor the effects of toxicants or chemical interventions in real time and to study the biological networks that underpin toxicant resistance.",,20,4178,False,True,False
PMC10774393,38191486,Altered quorum sensing and physiology of Staphylococcus aureus during spaceflight detected by multi-omics data analysis,4,Matthew R Hauserman,2024 Jan 8,NPJ Microgravity,10.1038/s41526-023-00343-7,"Staphylococcus aureus colonizes the nares of approximately 30% of humans, a risk factor for opportunistic infections. To gain insight into S. aureus virulence potential in the spaceflight environment, we analyzed RNA-Seq, cellular proteomics, and metabolomics data from the “Biological Research in Canisters-23” (BRIC-23) GeneLab spaceflight experiment, a mission designed to measure the response of S. aureus to growth in low earth orbit on the international space station. This experiment used Biological Research in Canisters-Petri Dish Fixation Units (BRIC-PDFUs) to grow asynchronous ground control and spaceflight cultures of S. aureus for 48 h. RNAIII, the effector of the Accessory Gene Regulator (Agr) quorum sensing system, was the most highly upregulated gene transcript in spaceflight relative to ground controls. The agr operon gene transcripts were also highly upregulated during spaceflight, followed by genes encoding phenol-soluble modulins and secreted proteases, which are positively regulated by Agr. Upregulated spaceflight genes/proteins also had functions related to urease activity, type VII-like Ess secretion, and copper transport. We also performed secretome analysis of BRIC-23 culture supernatants, which revealed that spaceflight samples had increased abundance of secreted virulence factors, including Agr-regulated proteases (SspA, SspB), staphylococcal nuclease (Nuc), and EsxA (secreted by the Ess system). These data also indicated that S. aureus metabolism is altered in spaceflight conditions relative to the ground controls. Collectively, these data suggest that S. aureus experiences increased quorum sensing and altered expression of virulence factors in response to the spaceflight environment that may impact its pathogenic potential.",,29,6464,True,True,True
PMC4405755,25565653,The role of alterations in mitochondrial dynamics and PGC-1α over-expression in fast muscle atrophy following hindlimb unloading,6,Jessica Cannavino,2015 Feb 4,The Journal of Physiology,10.1113/jphysiol.2014.286740,"The mechanisms triggering disuse muscle atrophy remain of debate. It is becoming evident that mitochondrial dysfunction may regulate pathways controlling muscle mass. We have recently shown that mitochondrial dysfunction plays a major role in disuse atrophy of soleus, a slow, oxidative muscle. Here we tested the hypothesis that hindlimb unloading-induced atrophy could be due to mitochondrial dysfunction in fast muscles too, notwithstanding their much lower mitochondrial content. Gastrocnemius displayed atrophy following both 3 and 7 days of unloading. SOD1 and catalase up-regulation, no H 2 O 2 accumulation and no increase of protein carbonylation suggest the antioxidant defence system efficiently reacted to redox imbalance in the early phases of disuse. A defective mitochondrial fusion (Mfn1, Mfn2 and OPA1 down-regulation) occurred together with an impairment of OXPHOS capacity. Furthermore, at 3 days of unloading higher acetyl-CoA carboxylase (ACC) phosphorylation was found, suggesting AMP-activated protein kinase (AMPK) pathway activation. To test the role of mitochondrial alterations we used Tg-mice overexpressing PGC-1α because of the known effect of PGC-1α on stimulation of Mfn2 expression. PGC-α overexpression was sufficient to prevent (i) the decrease of pro-fusion proteins (Mfn1, Mfn2 and OPA1), (ii) activation of the AMPK pathway, (iii) the inducible expression of MuRF1 and atrogin1 and of authopagic factors, and (iv) any muscle mass loss in response to disuse. As the effects of increased PGC-1α activity were sustained throughout disuse, compounds inducing PGC-1α expression could be useful to treat and prevent muscle atrophy also in fast muscles.",,39,6157,False,True,False
PMC5515520,28725721,The effect of spaceflight on the gravity-sensing auxin gradient of roots: GFP reporter gene microscopy on orbit,2,Robert J Ferl,2016 Jan 21,NPJ Microgravity,10.1038/npjmgrav.2015.23,"Our primary aim was to determine whether gravity has a direct role in establishing the auxin-mediated gravity-sensing system in primary roots. Major plant architectures have long been thought to be guided by gravity, including the directional growth of the primary root via auxin gradients that are then disturbed when roots deviate from the vertical as a gravity sensor. However, experiments on the International Space Station (ISS) now allow physical clarity with regard to any assumptions regarding the role of gravity in establishing fundamental root auxin distributions. We examined the spaceflight green fluorescent protein (GFP)-reporter gene expression in roots of transgenic lines of Arabidopsis thaliana : pDR5r::GFP, pTAA1::TAA1–GFP, pSCR::SCR–GFP to monitor auxin and pARR5::GFP to monitor cytokinin. Plants on the ISS were imaged live with the Light Microscopy Module (LMM), and compared with control plants imaged on the ground. Preserved spaceflight and ground control plants were examined post flight with confocal microscopy. Plants on orbit, growing in the absence of any physical reference to the terrestrial gravity vector, displayed typically “vertical” distribution of auxin in the primary root. This confirms that the establishment of the auxin-gradient system, the primary guide for gravity signaling in the root, is gravity independent. The cytokinin distribution in the root tip differs between spaceflight and the ground controls, suggesting spaceflight-induced features of root growth may be cytokinin related. The distribution of auxin in the gravity-sensing portion of the root is not dependent on gravity. Spaceflight appears benign to auxin and its role in the development of the primary root tip, whereas spaceflight may influence cytokinin-associated processes.",,23,5283,True,True,True
PMC11673879,39765755,Thermal Plasticity and Evolutionary Constraints in Bacillus: Implications for Climate Change Adaptation,4,Enrique Hurtado-Bautista,2024 Dec 23,Biology,10.3390/biology13121088,"The ongoing rise in global temperatures poses significant challenges to ecosystems, particularly impacting bacterial communities that are central to biogeochemical cycles. The resilience of wild mesophilic bacteria to temperature increases of 2–4 °C remains poorly understood. In this study, we conducted experimental evolution on six wild Bacillus strains from two lineages ( Bacillus cereus and Bacillus subtilis ) to examine their thermal adaptation strategies. We exposed the bacteria to gradually increasing temperatures to assess their thermal plasticity, focusing on the genetic mechanisms underlying adaptation. While B. subtilis lineages improved growth at highly critical temperatures, only one increased its thermal niche to 4 °C above their natural range. This finding is concerning given climate change projections. B. cereus strains exhibited higher mutation rates but were not able to grow at increasing temperatures, while B. subtilis required fewer genetic changes to increase heat tolerance, indicating distinct adaptive strategies. We observed convergent evolution in five evolved lines, with mutations in genes involved in c-di-AMP synthesis, which is crucial for potassium transport, implicating this chemical messenger for the first time in heat tolerance. These insights highlight the vulnerability of bacteria to climate change and underscore the importance of genetic background in shaping thermal adaptation.",,34,8021,False,True,False
PMC6371294,30815061,FAIRness and Usability for Open-access Omics Data Systems,3,Daniel C Berrios,2018 Dec 5,AMIA Annual Symposium Proceedings,,"Omics data sharing is crucial to the biological research community, and the last decade or two has seen a huge rise in collaborative analysis systems, databases, and knowledge bases for omics and other systems biology data. We assessed the “FAIRness” of NASA’s GeneLab Data Systems (GLDS) along with four similar kinds of systems in the research omics data domain, using 14 FAIRness metrics. The range of overall FAIRness scores was 6-12 (out of 14), average 10.1, and standard deviation 2.4. The range of Pass ratings for the metrics was 29-79%, Partial Pass 0-21%, and Fail 7-50%. The systems we evaluated performed the best in the areas of data findability and accessibility, and worst in the area of data interoperability. Reusability of metadata, in particular, was frequently not well supported. We relate our experiences implementing semantic integration of omics data from some of the assessed systems for federated querying and retrieval functions, given their shortcomings in data interoperability. Finally, we propose two new principles that Big Data system developers, in particular, should consider for maximizing data accessibility.",,16,4552,True,True,False
PMC3066201,21479267,Functional Changes in the Snail Statocyst System Elicited by Microgravity,11,Pavel M Balaban,2011 Mar 29,PLoS ONE,10.1371/journal.pone.0017710,,,23,7443,True,True,True
PMC7261848,32523594,Competitive Growth Assay of Mutagenized Chlamydomonas reinhardtii Compatible With the International Space Station Veggie Plant Growth Chamber,9,Junya Zhang,2020 May 25,Frontiers in Plant Science,10.3389/fpls.2020.00631,"A biological life support system for spaceflight would capture carbon dioxide waste produced by living and working in space to generate useful organic compounds. Photosynthesis is the primary mechanism to fix carbon into organic molecules. Microalgae are highly efficient at converting light, water, and carbon dioxide into biomass, particularly under limiting, artificial light conditions that are a necessity in space photosynthetic production. Although there is great promise in developing algae for chemical or food production in space, most spaceflight algae growth studies have been conducted on solid agar-media to avoid handling liquids in microgravity. Here we report that breathable plastic tissue culture bags can support robust growth of Chlamydomonas reinhardtii in the Veggie plant growth chamber, which is used on the International Space Station (ISS) to grow terrestrial plants. Live cultures can be stored for at least 1 month in the bags at room temperature. The gene set required for growth in these photobioreactors was tested using a competitive growth assay with mutations induced by short-wave ultraviolet light (UVC) mutagenesis in either wild-type (CC-5082) or cw15 mutant (CC-1883) strains at the start of the assay. Genome sequencing identified UVC-induced mutations, which were enriched for transversions and non-synonymous mutations relative to natural variants among laboratory strains. Genes with mutations indicating positive selection were enriched for information processing genes related to DNA repair, RNA processing, translation, cytoskeletal motors, kinases, and ABC transporters. These data suggest that modification of DNA repair, signal transduction, and metabolite transport may be needed to improve growth rates in this spaceflight production system.",,26,5540,True,True,True
PMC11892206,40065216,Immunization induces inflammation in the mouse heart during spaceflight,5,Alicia L Veliz,2025 Mar 10,BMC Genomics,10.1186/s12864-025-11426-y,"Space travel is a growing area of interest and includes initiatives such as NASA’s Moon-to-Mars Mission. Reports on the cardiovascular effects of space travel reveal changes in morphology, metabolism, and function of the cardiovascular system. In this study, the cardiovascular response to immunization in space was studied in mice which were housed and immunized while on the International Space Station (ISS). Mice were immunized with tetanus toxoid combined with the adjuvant CpG (TT + CpG) and the effects of vaccination in space were studied using transcriptomics. Analysis of the mouse heart transcriptome was performed on flight control and flight-immunized mice. The results show that immunization aboard the ISS stimulates heightened inflammation in the heart via induction of the nuclear factor kappa B (NF-κB) signaling pathway to promote the release of the pro-inflammatory cytokines IFNγ, IL-17 and IL-6. Additional transcriptomic changes included alterations in the cytoskeleton and in the expression of transcripts associated with protection from oxidative stress. In summary, inflammation in the heart can occur following immunization in space. This investigation explores the impact of immune challenges on the heart and lays the groundwork for future research into additional cardiac alterations which can occur during spaceflight.",,30,5151,True,True,True
PMC9503880,36144316,"Microbial Burden Estimation of Food Items, Built Environments, and the International Space Station Using Film Media",4,Anna C Simpson,2022 Aug 25,Microorganisms,10.3390/microorganisms10091714,"The use of film media involves considerably less preparation, waste, and incubator space than conventional agar-media-based assays and has proven in past studies to provide counts of cultivable microbes similar to those of traditional agar media. Film media also have the advantage of allowing sample volumes similar to those used in pour plates and, therefore, are well-suited for cultivable microbial counts in extremely low-biomass environments such as clean rooms or space habitats, particularly where the subsequent isolation of colonies is necessary. As the preparation of film media plates relies on water cohesion/adhesion rather than manual spreading, they may have future applications in low- or microgravity settings. In this study, cultivable microbial count performance was compared between agar media and film media in three kinds of samples: food items, surfaces in built environments on Earth (homes), and on the environmental surfaces of the International Space Station (ISS). Easy Plates (Kikkoman Corporation) and Petrifilm (3M) were compared with traditional agar plating for food and home surfaces, while only Easy Plates were compared with agar for ISS samples. For both food items and built environments on Earth, both types of film media performed comparably to agar media for bacterial counts, with R 2 values of 0.94–0.96. Fungal counts for built-environment samples had a lower correlation between film and agar counts, with R 2 values of 0.72–0.73. Samples from the ISS, which ranged from below detection to 10 3 CFU per 100 cm 2 , had R 2 values of 0.80 for bacterial counts and 0.73 for fungal counts, partially due to multiple samples recording below the detection limit for agar or too numerous to count, and the growth of fungal species on R2A medium. The species compositions of isolates picked from agar vs. film media plates were similar; however, further phylogenetic analysis is needed to confirm the differential microbial diversity composition. Overall, film media such as Easy Plates and Petrifilm are viable alternatives to agar plates for low-biomass built environments as well as for food samples, and the two brands tested in this study performed equally well.",,29,5752,True,True,True
PMC3818365,23880584,IRE1: ER stress sensor and cell fate executor,2,Yani Chen,2013 Jul 21,Trends in cell biology,10.1016/j.tcb.2013.06.005,"Cells operate a signaling network termed unfolded protein response (UPR) to monitor protein-folding capacity in the endoplasmic reticulum (ER). IRE1 is an ER transmembrane sensor that activates UPR to maintain ER and cellular function. While mammalian IRE1 promotes cell survive, it can initiate apoptosis via decay of anti-apoptotic microRNAs. Convergent and divergent IRE1 characteristics between plants and animals underscore its significance in cellular homeostasis. This review provides an updated scenario of IRE1 signaling model, discusses emerging IRE1 sensing mechanisms, compares IRE1 features among species, and outlines exciting future directions in UPR research.",,17,3760,True,True,False
PMC8444978,34528817,Draft Genome Sequences of Fungi Isolated from the International Space Station during the Microbial Tracking-2 Experiment,10,Anna C Simpson,2021 Sep 16,Microbiology Resource Announcements,10.1128/MRA.00751-21,"As part of the Microbial Tracking-2 study, 94 fungal strains were isolated from surfaces on the International Space Station, and whole-genome sequences were assembled. Characterization of these draft genomes will allow evaluation of microgravity adaption, risks to human health and spacecraft functioning, and biotechnological applications of fungi.",,8,1036,True,True,True
